 ,Mkt-RF,SMB,HML,RF,Mom,ST_Rev,LT_Rev
197108,3.79,-0.17,2.63,0.47,3.61,5.57,1.97
197109,-0.85,0.51,-2.91,0.37,2.12,0.29,-1.75
197110,-4.42,-1.76,-0.48,0.37,0.47,-1.25,-0.02
197111,-0.46,-2.77,-1.68,0.37,1.51,-0.82,-0.89
197112,8.71,3.29,-0.4,0.37,-0.58,3.65,0.7
197201,2.49,5.85,2.24,0.29,0.17,-0.58,2.85
197202,2.87,1.3,-2.79,0.25,2.54,-0.1,-1.42
197203,0.63,-0.24,-1.61,0.27,2.94,1.46,-1.63
197204,0.29,0.11,0.12,0.29,2.81,0.13,-0.32
197205,1.25,-2.69,-2.7,0.3,3.29,-0.93,-1.22
197206,-2.43,0.27,-2.48,0.29,1.9,-1.74,-1.11
197207,-0.8,-2.87,0.66,0.31,2.75,-2.32,-0.24
197208,3.26,-4.03,4.54,0.29,-5.4,0.7,3.08
197209,-1.14,-2.65,0.46,0.34,1.82,1.48,-1.29
197210,0.52,-2.73,1.34,0.4,0.71,-0.93,0.18
197211,4.6,-1.2,4.85,0.37,-5.09,3.28,1.38
197212,0.62,-1.95,-2.19,0.37,4.92,3.89,-2.29
197301,-3.29,-3.49,2.68,0.44,3.73,-1.37,-0.02
197302,-4.85,-3.87,1.6,0.41,2.16,-2.2,-0.17
197303,-1.3,-2.82,2.62,0.46,3.59,0.43,0.89
197304,-5.68,-3.85,5.41,0.52,6.36,-0.68,2.49
197305,-2.94,-6.3,0.41,0.51,7.14,-1.11,-2.47
197306,-1.57,-2.86,1.2,0.51,4.3,0.11,-0.4
197307,5.05,7.97,-5.31,0.64,-11.57,9.47,0.4
197308,-3.82,-2.13,1.24,0.7,3.46,1.71,0.28
197309,4.75,3.04,2.01,0.68,-7.0,1.65,5.73
197310,-0.83,-0.45,1.94,0.65,6.87,1.82,2.32
197311,-12.75,-7.67,3.87,0.56,8.66,-4.67,-2.37
197312,0.61,-5.35,3.85,0.64,10.38,0.39,2.52
197401,-0.17,9.68,6.02,0.63,-8.85,9.23,7.66
